,CreatedTime,Bp
0,0911.19:00:00.920710559,98.571147798742
1,0911.19:00:00.922589053,55.02358490566
2,0911.19:00:00.923301839,98.936713836478
3,0911.19:00:00.923326584,59.027122641509
4,0911.19:00:01.945530096,79.257075471698
5,0911.19:00:01.946519244,75.375393081761
6,0911.19:00:01.947546092,54.526336477987
7,0911.19:00:01.948645655,93.622248427673
8,0911.19:00:02.972670724,53.997641509434
9,0911.19:00:02.97365185,100.28694968553
10,0911.19:00:02.974140206,61.556603773585
11,0911.19:00:02.975853345,89.589229559748
12,0911.19:00:03.994021302,76.945754716981
13,0911.19:00:03.994789864,66.853380503145
14,0911.19:00:03.996164035,100.02751572327
15,0911.19:00:03.997228514,57.753537735849
16,0911.19:00:04.744887972,85.715408805031
17,0911.19:00:04.745824682,114.10966981132
18,0911.19:00:04.746864356,70.070754716981
19,0911.19:00:04.747379293,124.60691823899
20,0911.19:00:05.020646015,104.96462264151
21,0911.19:00:05.023624029,59.05463836478
22,0911.19:00:05.024556643,91.413128930818
23,0911.19:00:05.024591841,67.51965408805
24,0911.19:00:06.05353385,74.404481132075
25,0911.19:00:06.054469335,90.939465408805
26,0911.19:00:06.055155555,58.170204402516
27,0911.19:00:06.055185155,105.40683962264
28,0911.19:00:07.068070179,57.940251572327
29,0911.19:00:07.069347278,96.645047169811
30,0911.19:00:07.070148006,63.520047169811
31,0911.19:00:07.071263563,75.894261006289
32,0911.19:00:08.095298776,81.977201257862
33,0911.19:00:08.095921707,54.866352201258
34,0911.19:00:08.098507477,99.813286163522
35,0911.19:00:08.099396936,54.917452830189
36,0911.19:00:09.119325633,92.912735849057
37,0911.19:00:09.120201826,62.232704402516
38,0911.19:00:09.120228259,84.915487421384
39,0911.19:00:09.122682406,82.19143081761
40,0911.19:00:10.141817097,67.517688679245
41,0911.19:00:10.143929819,101.8376572327
42,0911.19:00:10.143966282,58.716588050314
43,0911.19:00:10.14460862,106.64897798742
44,0911.19:00:11.168193522,60.803852201258
45,0911.19:00:11.168833794,96.336477987421
46,0911.19:00:11.171622684,68.557389937107
47,0911.19:00:11.172694685,72.995283018868
48,0911.19:00:12.190914685,89.015330188679
49,0911.19:00:12.191583427,56.560534591195
50,0911.19:00:12.193039568,103.47877358491
51,0911.19:00:12.194599354,59.125393081761
52,0911.19:00:13.217579413,103.49842767296
53,0911.19:00:13.218306407,68.13679245283
54,0911.19:00:13.219743456,86.86713836478
55,0911.19:00:13.220429816,83.74213836478
56,0911.19:00:14.24789492,61.641116352201
57,0911.19:00:14.24793216,105.21226415094
58,0911.19:00:14.247958286,58.706761006289
59,0911.19:00:14.251480975,102.54913522013
60,0911.19:00:15.265064989,62.144261006289
61,0911.19:00:15.266012154,84.217767295597
62,0911.19:00:15.26845789,78.588836477987
63,0911.19:00:15.269004447,61.920204402516
64,0911.19:00:16.289136378,101.78852201258
65,0911.19:00:16.289688198,58.382468553459
66,0911.19:00:16.291196207,108.65762578616
67,0911.19:00:16.291684835,63.628144654088
68,0911.19:00:17.315934595,95.218160377358
69,0911.19:00:17.315969376,73.858097484277
70,0911.19:00:17.318823838,67.961871069182
71,0911.19:00:17.319501872,97.427279874214
72,0911.19:00:18.337427474,57.185534591195
73,0911.19:00:18.338350769,103.18396226415
74,0911.19:00:18.339403983,60.286949685535
75,0911.19:00:18.33988124,87.783018867925
76,0911.19:00:19.364714733,74.946933962264
77,0911.19:00:19.365642493,58.685141509434
78,0911.19:00:19.365683201,101.38954402516
79,0911.19:00:19.36898531,55.829402515723
80,0911.19:00:20.389338472,98.651729559748
81,0911.19:00:20.390118083,62.21108490566
82,0911.19:00:20.397791189,81.87106918239
83,0911.19:00:20.397811078,85.955188679245
84,0911.19:00:21.411692578,59.268867924528
85,0911.19:00:21.412251946,107.42531446541
86,0911.19:00:21.413092665,59.247248427673
87,0911.19:00:21.413117588,98.838443396226
88,0911.19:00:22.435787917,67.529481132075
89,0911.19:00:22.436745283,75.381289308176
90,0911.19:00:22.436773576,92.061713836478
91,0911.19:00:22.437819966,58.303852201258
92,0911.19:00:23.467245371,107.50196540881
93,0911.19:00:23.467800665,59.862421383648
94,0911.19:00:23.468623677,97.142295597484
95,0911.19:00:23.468649429,67.588443396226
96,0911.19:00:24.485256889,81.369889937107
97,0911.19:00:24.489526603,91.568396226415
98,0911.19:00:24.490108386,63.72248427673
99,0911.19:00:24.492350784,116.31878930818
100,0911.19:00:25.512599295,62.682783018868
101,0911.19:00:25.512637635,111.61163522013
102,0911.19:00:25.512653997,69.249213836478
103,0911.19:00:25.512669704,87.264150943396
104,0911.19:00:26.536197728,89.789701257862
105,0911.19:00:26.536227482,59.335691823899
106,0911.19:00:26.53728226,110.74488993711
107,0911.19:00:26.537317912,59.302279874214
108,0911.19:00:27.55954215,102.63364779874
109,0911.19:00:27.559579954,85.076650943396
110,0911.19:00:27.562275744,94.783805031447
111,0911.19:00:27.562809817,118.9052672956
112,0911.19:00:28.583114471,56.381682389937
113,0911.19:00:28.583690412,119.48506289308
114,0911.19:00:28.585305352,64.709119496855
115,0911.19:00:28.585885893,79.455581761006
116,0911.19:00:29.611211922,101.92413522013
117,0911.19:00:29.611862873,54.754323899371
118,0911.19:00:29.61241606,86.572327044025
119,0911.19:00:29.615430441,89.960691823899
120,0911.19:00:30.632507034,55.02751572327
121,0911.19:00:30.632768077,98.724449685535
122,0911.19:00:30.634558332,76.149764150943
123,0911.19:00:30.638873123,50.522798742138
124,0911.19:00:31.65700044,113.98781446541
125,0911.19:00:31.65793717,61.240172955975
126,0911.19:00:31.6581994,49.170597484277
127,0911.19:00:31.658977263,120.02358490566
128,0911.19:00:32.683262319,74.669811320755
129,0911.19:00:32.683717141,78.46108490566
130,0911.19:00:32.693367831,77.794811320755
131,0911.19:00:32.694294262,91.627358490566
132,0911.19:00:33.707548035,107.8911163522
133,0911.19:00:33.707807516,55.056996855346
134,0911.19:00:33.717584042,103.19968553459
135,0911.19:00:33.718381831,106.74135220126
136,0911.19:00:34.730564876,66.910377358491
137,0911.19:00:34.731373168,106.74135220126
138,0911.19:00:34.731653798,59.994103773585
139,0911.19:00:34.73243818,138.83647798742
140,0911.19:00:35.757019371,66.389544025157
141,0911.19:00:35.761253699,86.662735849057
142,0911.19:00:35.763257953,94.337657232704
143,0911.19:00:35.763921281,62.971698113208
144,0911.19:00:36.779044531,124.74842767296
145,0911.19:00:36.77996108,81.645047169811
146,0911.19:00:36.781050315,151.60966981132
147,0911.19:00:36.781583571,67.950078616352
148,0911.19:00:37.803888806,84.211871069182
149,0911.19:00:37.808097102,103.89937106918
150,0911.19:00:37.808974101,102.35259433962
151,0911.19:00:37.809000675,117.64544025157
152,0911.19:00:38.832171287,60.992531446541
153,0911.19:00:38.832189644,106.55463836478
154,0911.19:00:38.834166258,113.3608490566
155,0911.19:00:38.834199023,63.976022012579
156,0911.19:00:39.853525925,116.7983490566
157,0911.19:00:39.854162682,60.28498427673
158,0911.19:00:39.855572268,126.3679245283
159,0911.19:00:39.856154791,97.397798742138
160,0911.19:00:40.877519485,74.255110062893
161,0911.19:00:40.878067144,100.01965408805
162,0911.19:00:40.879618303,59.526336477987
163,0911.19:00:40.880147914,123.49646226415
164,0911.19:00:41.90348074,111.41902515723
165,0911.19:00:41.90382403,100.75864779874
166,0911.19:00:41.904488067,72.232704402516
167,0911.19:00:41.904868129,78.431603773585
168,0911.19:00:42.926739545,118.85023584906
169,0911.19:00:42.927185662,56.796383647799
170,0911.19:00:42.92868177,113.76768867925
171,0911.19:00:42.929117569,60.218160377358
172,0911.19:00:43.952957208,102.82625786164
173,0911.19:00:43.953491555,73.828616352201
174,0911.19:00:43.955046731,90.884433962264
175,0911.19:00:43.955621171,105.22012578616
176,0911.19:00:44.978756372,72.18356918239
177,0911.19:00:44.97958626,121.76886792453
178,0911.19:00:44.979622549,69.990172955975
179,0911.19:00:44.980976622,120.02751572327
180,0911.19:00:45.729156732,75.833333333333
181,0911.19:00:45.730959297,101.7177672956
182,0911.19:00:45.731487386,99.858490566038
183,0911.19:00:45.732987702,75.860849056604
184,0911.19:00:46.001191063,66.023977987421
185,0911.19:00:46.0014878,102.05778301887
186,0911.19:00:46.001984697,74.567610062893
187,0911.19:00:46.002274695,82.254323899371
188,0911.19:00:47.024248537,105.84119496855
189,0911.19:00:47.024531538,75.95715408805
190,0911.19:00:47.03084044,140.42649371069
191,0911.19:00:47.031121306,71.202830188679
192,0911.19:00:48.052210275,114.53812893082
193,0911.19:00:48.052682439,65.269261006289
194,0911.19:00:48.052997181,104.02122641509
195,0911.19:00:48.054801181,78.964229559748
196,0911.19:00:49.074474254,86.476022012579
197,0911.19:00:49.076908754,104.89779874214
198,0911.19:00:49.077984279,65.705581761006
199,0911.19:00:49.078857188,121.77672955975
200,0911.19:00:50.102391331,73.14858490566
201,0911.19:00:50.102412401,129.67177672956
202,0911.19:00:50.105164472,74.457547169811
203,0911.19:00:50.10570351,110.0373427673
204,0911.19:00:51.123927697,84.420204402516
205,0911.19:00:51.12450325,92.904874213836
206,0911.19:00:51.126326514,94.35141509434
207,0911.19:00:51.127114425,65.367531446541
208,0911.19:00:52.155766519,118.00511006289
209,0911.19:00:52.156719996,65.01965408805
210,0911.19:00:52.157408799,124.32783018868
211,0911.19:00:52.157438738,69.549921383648
212,0911.19:00:53.173177857,123.87382075472
213,0911.19:00:53.173734599,78.634040880503
214,0911.19:00:53.174763066,112.14033018868
215,0911.19:00:53.175268311,79.722877358491
216,0911.19:00:54.198191209,87.934355345912
217,0911.19:00:54.199558664,102.53341194969
218,0911.19:00:54.203407153,80.375393081761
219,0911.19:00:54.203924885,143.35102201258
220,0911.19:00:55.221144348,68.470911949686
221,0911.19:00:55.222022487,131.02594339623
222,0911.19:00:55.223300658,96.430817610063
223,0911.19:00:55.223830038,112.09709119497
224,0911.19:00:56.251860105,98.620283018868
225,0911.19:00:56.252477174,97.79677672956
226,0911.19:00:56.253876212,92.596305031447
227,0911.19:00:56.254388014,89.773977987421
228,0911.19:00:57.271845506,124.41037735849
229,0911.19:00:57.272555371,61.155660377358
230,0911.19:00:57.273796898,130.19850628931
231,0911.19:00:57.274405518,87.539308176101
232,0911.19:00:58.294420546,88.199685534591
233,0911.19:00:58.295171856,91.684355345912
234,0911.19:00:58.296569127,88.842374213836
235,0911.19:00:58.297058991,111.81996855346
236,0911.19:00:59.320351633,58.852201257862
237,0911.19:00:59.321045141,117.16588050314
238,0911.19:00:59.322545608,71.670597484277
239,0911.19:00:59.323158587,127.76139937107
240,0911.19:01:00.343635955,69.907625786164
241,0911.19:01:00.344602699,87.305424528302
242,0911.19:01:00.348933212,89.536163522013
243,0911.19:01:00.3497589,70.363600628931
244,0911.19:01:01.367982272,114.58333333333
245,0911.19:01:01.368933989,69.196147798742
246,0911.19:01:01.369944067,129.40841194969
247,0911.19:01:01.371006921,73.294025157233
248,0911.19:01:02.396955392,133.57900943396
249,0911.19:01:02.397932992,66.446540880503
250,0911.19:01:02.397973112,111.75314465409
251,0911.19:01:02.40051655,70.518867924528
252,0911.19:01:03.418620235,103.98977987421
253,0911.19:01:03.418655544,84.200078616352
254,0911.19:01:03.420535154,96.306996855346
255,0911.19:01:03.420813966,104.14308176101
256,0911.19:01:04.446575896,88.09748427673
257,0911.19:01:04.446855697,119.03498427673
258,0911.19:01:04.447146033,81.529088050314
259,0911.19:01:04.448608236,126.84158805031
260,0911.19:01:05.467076083,72.126572327044
261,0911.19:01:05.46783909,120.69182389937
262,0911.19:01:05.469208886,66.588050314465
263,0911.19:01:05.469720105,131.82979559748
264,0911.19:01:06.490978176,83.828616352201
265,0911.19:01:06.491509925,127.74371069182
266,0911.19:01:06.493069834,66.094732704403
267,0911.19:01:06.493580416,115.13561320755
268,0911.19:01:07.515250421,70.564072327044
269,0911.19:01:07.515844857,111.54088050314
270,0911.19:01:07.517528992,82.450864779874
271,0911.19:01:07.518047117,113.39622641509
272,0911.19:01:08.541387394,104.32389937107
273,0911.19:01:08.54185619,88.514150943396
274,0911.19:01:08.543509424,96.829795597484
275,0911.19:01:08.54404925,76.483883647799
276,0911.19:01:09.564687037,113.67727987421
277,0911.19:01:09.565680368,80.778301886792
278,0911.19:01:09.578204988,129.9606918239
279,0911.19:01:09.57873574,62.057783018868
280,0911.19:01:10.588637031,117.09709119497
281,0911.19:01:10.589557945,61.175314465409
282,0911.19:01:10.590809308,117.32114779874
283,0911.19:01:10.591749682,65.540487421384
284,0911.19:01:11.614753073,118.74017295597
285,0911.19:01:11.615790449,71.104559748428
286,0911.19:01:11.616086865,111.70204402516
287,0911.19:01:11.616876319,73.993710691824
288,0911.19:01:12.642916977,103.90330188679
289,0911.19:01:12.644526211,80.524764150943
290,0911.19:01:12.644572919,100.14544025157
291,0911.19:01:12.644592002,90.208333333333
292,0911.19:01:13.662372016,92.52751572327
293,0911.19:01:13.662900231,96.621462264151
294,0911.19:01:13.663383665,84.487028301887
